Active Connections
Proto  Local Address          Foreign Address        State
TCP    10.250.20.28:60922     142.250.188.227:443    ESTABLISHED
TCP    10.250.20.28:60923     142.250.188.228:443    ESTABLISHED
TCP    10.250.20.28:60925     142.250.188.227:443    ESTABLISHED
TCP    10.250.20.28:60926     142.250.68.67:443      ESTABLISHED
TCP    10.250.20.28:60927     44.196.125.45:443      ESTABLISHED
TCP    10.250.20.28:60928     54.187.159.182:443     ESTABLISHED
TCP    10.250.20.28:60929     54.187.159.182:443     ESTABLISHED
TCP    10.250.20.28:60930     34.149.66.134:443      ESTABLISHED
TCP    10.250.20.28:60931     142.251.215.227:443    ESTABLISHED
TCP    10.250.20.28:60932     142.250.176.14:443     ESTABLISHED
TCP    10.250.20.28:60933     20.190.190.129:443     ESTABLISHED
TCP    10.250.20.28:60934     20.190.151.8:443       TIME_WAIT
TCP    10.250.20.28:60936     142.251.40.46:443      ESTABLISHED
TCP    10.250.20.28:60937     54.68.183.151:443      ESTABLISHED
TCP    10.250.20.28:60938     104.18.35.46:443       TIME_WAIT
TCP    10.250.20.28:60939     104.18.35.46:443       ESTABLISHED
TCP    10.250.20.28:60940     151.101.1.91:443       ESTABLISHED
TCP    10.250.20.28:60941     192.0.73.2:443         ESTABLISHED
TCP    10.250.20.28:60942     104.18.35.46:443       TIME_WAIT
TCP    10.250.20.28:60943     151.101.128.176:443    ESTABLISHED
TCP    10.250.20.28:60944     54.149.209.136:443     ESTABLISHED
TCP    10.250.20.28:60945     104.18.35.46:443       ESTABLISHED
TCP    10.250.20.28:60946     34.49.204.74:443       ESTABLISHED
TCP    10.250.20.28:60947     34.49.204.74:443       ESTABLISHED
TCP    10.250.20.28:63361     74.125.137.188:5228    ESTABLISHED
TCP    10.250.20.28:63387     44.205.171.153:443     ESTABLISHED
TCP    10.250.20.28:63390     44.238.43.4:443        ESTABLISHED
TCP    10.250.20.28:63679     35.81.85.251:443       ESTABLISHED
TCP    10.250.20.28:63681     52.96.164.114:443      ESTABLISHED
TCP    10.250.20.28:63683     10.202.74.36:3389      ESTABLISHED
TCP    127.0.0.1:22           0.0.0.0:0              LISTENING
TCP    127.0.0.1:111          0.0.0.0:0              LISTENING
TCP    127.0.0.1:139          0.0.0.0:0              LISTENING
TCP    127.0.0.1:4767         0.0.0.0:0              LISTENING
TCP    127.0.0.1:4767         127.0.0.1:50421        ESTABLISHED
TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING
TCP    127.0.0.1:5037         127.0.0.1:60784        ESTABLISHED
TCP    127.0.0.1:8599         0.0.0.0:0              LISTENING
TCP    127.0.0.1:8769         0.0.0.0:0              LISTENING
TCP    127.0.0.1:50355        0.0.0.0:0              LISTENING
TCP    127.0.0.1:50370        0.0.0.0:0              LISTENING
TCP    127.0.0.1:50370        127.0.0.1:51208        ESTABLISHED
TCP    127.0.0.1:50421        127.0.0.1:4767         ESTABLISHED
TCP    127.0.0.1:51172        127.0.0.1:65001        ESTABLISHED
TCP    127.0.0.1:51208        127.0.0.1:50370        ESTABLISHED
TCP    127.0.0.1:60781        127.0.0.1:60782        ESTABLISHED
TCP    127.0.0.1:60782        127.0.0.1:60781        ESTABLISHED
TCP    127.0.0.1:60784        127.0.0.1:5037         ESTABLISHED
TCP    127.0.0.1:65001        0.0.0.0:0              LISTENING
TCP    127.0.0.1:65001        127.0.0.1:51172        ESTABLISHED
TCP    172.18.176.1:139       0.0.0.0:0              LISTENING
TCP    172.23.144.1:139       0.0.0.0:0              LISTENING
TCP    192.168.1.17:139       0.0.0.0:0              LISTENING
TCP    192.168.1.17:51205     20.59.87.225:443       ESTABLISHED
TCP    192.168.1.17:51319     35.186.224.45:443      ESTABLISHED
TCP    192.168.1.17:51360     3.140.122.174:443      ESTABLISHED
TCP    192.168.1.17:51375     3.140.122.174:443      ESTABLISHED
TCP    192.168.1.17:51376     3.140.122.174:443      ESTABLISHED
TCP    192.168.1.17:51407     44.224.143.22:443      ESTABLISHED
TCP    192.168.1.17:60888     172.66.0.227:443       ESTABLISHED
TCP    192.168.1.17:63081     3.125.103.71:443       ESTABLISHED
TCP    192.168.1.17:63356     20.59.87.225:443       ESTABLISHED
TCP    [::]:135               [::]:0                 LISTENING
TCP    [::]:445               [::]:0                 LISTENING
TCP    [::]:2179              [::]:0                 LISTENING
TCP    [::]:2701              [::]:0                 LISTENING
TCP    [::]:3389              [::]:0                 LISTENING
TCP    [::]:5985              [::]:0                 LISTENING
TCP    [::]:8000              [::]:0                 LISTENING
TCP    [::]:8005              [::]:0                 LISTENING
TCP    [::]:47001             [::]:0                 LISTENING
TCP    [::]:49664             [::]:0                 LISTENING
TCP    [::]:49665             [::]:0                 LISTENING
TCP    [::]:49666             [::]:0                 LISTENING
TCP    [::]:49667             [::]:0                 LISTENING
TCP    [::]:49668             [::]:0                 LISTENING
TCP    [::]:49678             [::]:0                 LISTENING
TCP    [::]:49682             [::]:0                 LISTENING
TCP    [::]:60764             [::]:0                 LISTENING
TCP    [::1]:22               [::]:0                 LISTENING
TCP    [::1]:111              [::]:0                 LISTENING
TCP    [::1]:139              [::]:0                 LISTENING
TCP    [::1]:60764            [::1]:60770            ESTABLISHED
TCP    [::1]:60770            [::1]:60764            ESTABLISHED
UDP    0.0.0.0:53             *:*
UDP    0.0.0.0:53             *:*
UDP    0.0.0.0:123            *:*
UDP    0.0.0.0:500            *:*
UDP    0.0.0.0:954            *:*
UDP    0.0.0.0:3389           *:*
UDP    0.0.0.0:4500           *:*
UDP    0.0.0.0:5050           *:*
UDP    0.0.0.0:5353           *:*
UDP    0.0.0.0:5353           *:*
UDP    0.0.0.0:5353           *:*
UDP    0.0.0.0:5353           *:*
UDP    0.0.0.0:5353           *:*
UDP    0.0.0.0:5353           *:*
UDP    0.0.0.0:5353           *:*
UDP    0.0.0.0:5353           *:*
UDP    0.0.0.0:5353           *:*
UDP    0.0.0.0:5353           *:*
UDP    0.0.0.0:5353           *:*
UDP    0.0.0.0:5353           *:*
UDP    0.0.0.0:5355           *:*
UDP    0.0.0.0:49332          151.101.1.91:443
UDP    0.0.0.0:49466          142.250.217.136:443
UDP    0.0.0.0:49506          99.84.66.44:443
UDP    0.0.0.0:49770          142.251.40.46:443
UDP    0.0.0.0:49791          *:*
UDP    0.0.0.0:49889          142.250.141.157:443
UDP    0.0.0.0:49993          216.239.34.181:443
UDP    0.0.0.0:50400          142.250.72.162:443
UDP    0.0.0.0:51029          *:*
UDP    0.0.0.0:51030          *:*
UDP    0.0.0.0:51727          104.16.117.43:443
UDP    0.0.0.0:51850          142.250.188.227:443
UDP    0.0.0.0:52390          142.250.217.136:443
UDP    0.0.0.0:52456          104.18.35.46:443
UDP    0.0.0.0:52674          104.18.37.212:443
UDP    0.0.0.0:53301          34.36.58.112:443
UDP    0.0.0.0:53514          142.250.189.10:443
UDP    0.0.0.0:53702          99.84.66.44:443
UDP    0.0.0.0:54689          142.251.40.34:443
UDP    0.0.0.0:54690          142.251.40.46:443
UDP    0.0.0.0:55955          142.250.217.150:443
UDP    0.0.0.0:56052          142.250.188.227:443
UDP    0.0.0.0:56229          142.250.217.138:443
UDP    0.0.0.0:56262          142.250.68.67:443
UDP    0.0.0.0:56673          172.217.14.74:443
UDP    0.0.0.0:56708          142.250.188.227:443
UDP    0.0.0.0:56845          *:*
UDP    0.0.0.0:57245          142.250.217.142:443
UDP    0.0.0.0:57340          34.149.66.134:443
UDP    0.0.0.0:57967          142.250.217.142:443
UDP    0.0.0.0:58590          142.250.72.174:443
UDP    0.0.0.0:58636          142.251.40.46:443
UDP    0.0.0.0:59122          172.217.12.138:443
UDP    0.0.0.0:59151          142.251.40.34:443
UDP    0.0.0.0:59231          10.202.74.36:3389
UDP    0.0.0.0:59382          142.250.188.228:443
UDP    0.0.0.0:59401          74.125.137.84:443
UDP    0.0.0.0:59456          34.120.195.249:443
UDP    0.0.0.0:59660          142.250.68.42:443
UDP    0.0.0.0:59783          142.250.188.227:443
UDP    0.0.0.0:60245          *:*
UDP    0.0.0.0:60348          142.250.68.67:443
UDP    0.0.0.0:60400          172.217.14.65:443
UDP    0.0.0.0:60501          142.250.72.230:443
UDP    0.0.0.0:60628          142.250.68.67:443
UDP    0.0.0.0:60882          142.250.188.234:443
UDP    0.0.0.0:61031          *:*
UDP    0.0.0.0:61516          142.250.188.228:443
UDP    0.0.0.0:61584          104.160.131.203:4501
UDP    0.0.0.0:61852          104.18.35.46:443
UDP    0.0.0.0:62061          34.149.66.134:443
UDP    0.0.0.0:62088          *:*
UDP    0.0.0.0:62262          142.251.40.46:443
UDP    0.0.0.0:62645          142.250.188.228:443
UDP    0.0.0.0:63393          142.251.215.227:443
UDP    0.0.0.0:63606          *:*
UDP    0.0.0.0:63644          142.250.217.138:443
UDP    0.0.0.0:64233          99.84.66.44:443
UDP    0.0.0.0:64374          142.250.176.2:443
UDP    0.0.0.0:64596          142.250.188.228:443
UDP    0.0.0.0:64758          172.217.12.131:443
UDP    10.250.20.28:137       *:*
UDP    10.250.20.28:138       *:*
UDP    10.250.20.28:1900      *:*
UDP    10.250.20.28:5353      *:*
UDP    10.250.20.28:54333     *:*
UDP    127.0.0.1:1900         *:*
UDP    127.0.0.1:10010        *:*
UDP    127.0.0.1:50210        127.0.0.1:50210
UDP    127.0.0.1:54335        *:*
UDP    127.0.0.1:55502        127.0.0.1:55502
UDP    127.0.0.1:63717        *:*
UDP    172.18.176.1:67        *:*
UDP    172.18.176.1:68        *:*
UDP    172.18.176.1:137       *:*
UDP    172.18.176.1:138       *:*
UDP    172.18.176.1:1900      *:*
UDP    172.18.176.1:5353      *:*
UDP    172.18.176.1:54336     *:*
UDP    172.23.144.1:137       *:*
UDP    172.23.144.1:138       *:*
UDP    172.23.144.1:1900      *:*
UDP    172.23.144.1:5353      *:*
UDP    172.23.144.1:54337     *:*
UDP    192.168.1.17:137       *:*
UDP    192.168.1.17:138       *:*
UDP    192.168.1.17:1900      *:*
UDP    192.168.1.17:5353      *:*
UDP    192.168.1.17:54334     *:*
UDP    [::]:123               *:*
UDP    [::]:500               *:*
UDP    [::]:989               *:*
UDP    [::]:3389              *:*
UDP    [::]:4500              *:*
UDP    [::]:5353              *:*
UDP    [::]:5353              *:*
UDP    [::]:5353              *:*
UDP    [::]:5353              *:*
UDP    [::]:5353              *:*
UDP    [::]:5353              *:*
UDP    [::]:5353              *:*
UDP    [::]:5355              *:*
UDP    [::]:49791             *:*
UDP    [::]:51031             *:*
UDP    [::]:56845             *:*
UDP    [::]:60246             *:*
UDP    [::]:61032             *:*
UDP    [::]:62088             *:*
UDP    [::]:63606             *:*
UDP    [::1]:1900             *:*
UDP    [::1]:5353             *:*
UDP    [::1]:54330            *:*
UDP    [fe80::456b:b8c4:6165:6b53%16]:1900  *:*
UDP    [fe80::456b:b8c4:6165:6b53%16]:54329  *:*
UDP    [fe80::83a8:bf37:5896:a127%34]:1900  *:*
UDP    [fe80::83a8:bf37:5896:a127%34]:54332  *:*
UDP    [fe80::92e9:30ba:ef68:a622%20]:1900  *:*
UDP    [fe80::92e9:30ba:ef68:a622%20]:54331  *:*
